request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_216,1166.8,affordable_with_plan,full_payment,2026-07-03:1166.8,,none,Pay 1166.8 today. This is the maximum safe amount given current balance and minimum requirements.
request_217,31601.97,affordable_with_plan,installments,2024-03-05:31601.97,,none,Pay 31601.97 today. This is the maximum safe amount given current balance and minimum requirements.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:37942414.8,,none,Pay 37942414.8 today. This is the maximum safe amount given current balance and minimum requirements.
request_219,1673.1,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-04,none,"Use 3 installments of 580.01, starting 2026-04-07."
request_220,307.32,affordable_with_plan,installments,2024-06-06:307.32,,none,Pay 307.32 today. This is the maximum safe amount given current balance and minimum requirements.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay 109800 today. This leaves at least 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay 34078 today. This leaves at least 27300 available over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay 898.7 today. This leaves at least 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of 5370040, starting 2025-02-04."
request_225,18120459.6,affordable_with_plan,installments,2026-07-06:18120459.6,,none,Pay 18120459.6 today. This is the maximum safe amount given current balance and minimum requirements.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay 157000 today. This leaves at least 209400 available over the next 90 days.
request_227,42755,affordable_with_plan,partial_payment,2025-05-05:42755,,none,Pay 42755 today. This is the maximum safe amount given current balance and minimum requirements.
request_228,10557350,affordable_with_plan,full_payment,2026-04-07:10557350,,none,Pay 10557350 today. This is the maximum safe amount given current balance and minimum requirements.
request_229,800.52,affordable_with_plan,installments,2024-03-04:800.52,,none,Pay 800.52 today. This is the maximum safe amount given current balance and minimum requirements.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay 3537.6 today. This leaves at least 2000 available over the next 90 days.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of 12378.08, starting 2026-01-06."
request_232,1869.4,affordable_with_plan,full_payment,2024-06-05:1869.4,,none,Pay 1869.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_233,6241000,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,2025-11-07,none,"Use 2 installments of 3245320, starting 2025-11-14."
request_234,528.6,affordable_with_plan,full_payment,2026-07-04:528.6,,none,Pay 528.6 today. This is the maximum safe amount given current balance and minimum requirements.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay 967.2 today. This leaves at least 700 available over the next 90 days.
request_236,14404850,affordable_with_plan,partial_payment,2025-02-03:14404850,,none,Pay 14404850 today. This is the maximum safe amount given current balance and minimum requirements.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay 23826000 today. This leaves at least 22431500 available over the next 90 days.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of 230.05, starting 2024-12-07."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay 642 today. This leaves at least 600 available over the next 90 days.
request_240,37400,affordable_with_plan,partial_payment,2026-01-06:37400,,none,Pay 37400 today. This is the maximum safe amount given current balance and minimum requirements.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of 7298026.67, starting 2024-03-17."
request_242,369.4,affordable_with_plan,full_payment,2025-08-05:369.4,,none,Pay 369.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay 17468 today. This leaves at least 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay 49918 today. This leaves at least 45900 available over the next 90 days.
request_245,65760,affordable_with_plan,full_payment,2025-11-06:65760,,none,Pay 65760 today. This is the maximum safe amount given current balance and minimum requirements.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of 22216.48, starting 2026-04-03."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay 1059.3 today. This leaves at least 1300 available over the next 90 days.
request_248,1507.36,affordable_with_plan,partial_payment,2025-02-07:1507.36,,none,Pay 1507.36 today. This is the maximum safe amount given current balance and minimum requirements.
request_249,342.4,affordable_with_plan,full_payment,2026-01-04:342.4,,none,Pay 342.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_250,28820,affordable_with_plan,partial_payment,2024-12-06:28820,,none,Pay 28820 today. This is the maximum safe amount given current balance and minimum requirements.
request_251,1513.6,affordable_with_plan,installments,2025-05-10:111|2025-06-09:111|2025-07-09:111|2025-08-08:111|2025-09-07:111|2025-10-07:111|2025-11-06:111|2025-12-06:111|2026-01-05:111|2026-02-04:111|2026-03-06:111|2026-04-05:111|2026-05-05:111|2026-06-04:111|2026-07-04:111,2025-05-03,none,"Use 15 installments of 111, starting 2025-05-10."
request_252,9110500,affordable_with_plan,full_payment,2026-07-05:9110500,,none,Pay 9110500 today. This is the maximum safe amount given current balance and minimum requirements.
request_253,2335.57,affordable_with_plan,installments,2024-03-07:2335.57,,none,Pay 2335.57 today. This is the maximum safe amount given current balance and minimum requirements.
request_254,1759.6,affordable_with_plan,full_payment,2025-08-04:1759.6,,none,Pay 1759.6 today. This is the maximum safe amount given current balance and minimum requirements.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay 3345000 today. This leaves at least 9813900 available over the next 90 days.
request_256,218700,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-03,none,"Use 3 installments of 75816, starting 2024-06-10."
request_257,1085.2,affordable_with_plan,full_payment,2025-11-05:1085.2,,none,Pay 1085.2 today. This is the maximum safe amount given current balance and minimum requirements.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay 1113.6 today. This leaves at least 500 available over the next 90 days.
request_259,669.3,affordable_with_plan,full_payment,2024-09-04:669.3,,none,Pay 669.3 today. This is the maximum safe amount given current balance and minimum requirements.
request_260,13522300,affordable_with_plan,partial_payment,2025-02-06:13522300,,none,Pay 13522300 today. This is the maximum safe amount given current balance and minimum requirements.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay 1830.4 today. This leaves at least 1500 available over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay 9236000 today. This leaves at least 31018500 available over the next 90 days.
request_263,13750,affordable_with_plan,partial_payment,2025-05-07:13750,,none,Pay 13750 today. This is the maximum safe amount given current balance and minimum requirements.
request_264,44875,affordable_with_plan,full_payment,2026-04-04:44875,,none,Pay 44875 today. This is the maximum safe amount given current balance and minimum requirements.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay 45970 today. This leaves at least 189700 available over the next 90 days.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of 324.13, starting 2025-08-03."
request_267,1925,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-05,none,"Use 3 installments of 667.33, starting 2026-01-08."
request_268,1512.52,affordable_with_plan,installments,2024-06-07:1512.52,,none,Pay 1512.52 today. This is the maximum safe amount given current balance and minimum requirements.
request_269,15490,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,Pay 15490 today. This leaves at least 23100 available over the next 90 days.
request_270,535.4,affordable_with_plan,installments,2026-07-06:535.4,,none,Pay 535.4 today. This is the maximum safe amount given current balance and minimum requirements.
request_271,84760,affordable_with_plan,full_payment,2024-09-03:84760,,none,Pay 84760 today. This is the maximum safe amount given current balance and minimum requirements.
request_272,8815924,affordable_with_plan,installments,2025-02-05:8815924,,none,Pay 8815924 today. This is the maximum safe amount given current balance and minimum requirements.
request_273,13372200,affordable_with_plan,installments,2026-04-07:13372200,,none,Pay 13372200 today. This is the maximum safe amount given current balance and minimum requirements.
request_274,2713.7,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-04,none,"Use 3 installments of 940.75, starting 2024-12-04."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay 15884000 today. This leaves at least 12760100 available over the next 90 days.
